2024-03-02,Monitor,4561.08,Chennai,CUST00151,1
2024-06-15,Keyboard,4147.74,Hyderabad,CUST00458,1
2024-04-27,Headphones,3071.08,Kolkata,CUST00194,4
2024-03-12,Scanner,4962.4,Mumbai,CUST00061,1
2024-01-25,Printer,1018.88,Kolkata,CUST00428,4
2024-04-13,Webcam,700.82,Ahmedabad,CUST00546,2
2024-11-24,Keyboard,3914.48,Pune,CUST00098,5
2024-07-17,Mouse,479.7,Delhi,CUST00817,3
2024-12-04,Laptop,2424.31,Pune,CUST00490,3
2024-08-04,Laptop,2181.89,Mumbai,CUST00946,5
2024-12-29,Laptop,3756.96,Hyderabad,CUST00210,2
2024-09-04,Keyboard,4697.7,Ahmedabad,CUST00911,3
2024-01-08,Scanner,1902.09,Chennai,CUST00615,4
2024-11-09,Mouse,2299.1,Ahmedabad,CUST00696,3
2024-08-25,Printer,2032.25,Hyderabad,CUST00240,1
2024-01-30,Keyboard,4340.68,Chennai,CUST00163,4
2024-01-28,Webcam,3892.73,Kolkata,CUST00989,3
2024-07-20,Printer,3298.23,Hyderabad,CUST00853,2
2024-12-01,Webcam,897.38,Bangalore,CUST00442,5
2024-10-03,Webcam,3606.28,Hyderabad,CUST00651,5
2024-04-03,Headphones,1543.47,Bangalore,CUST00049,3
2024-10-12,Scanner,1703.46,Kolkata,CUST00726,5
2024-08-06,Monitor,3770.31,Mumbai,CUST00219,5
2024-03-28,Webcam,547.93,Bangalore,CUST00543,5
2024-05-17,Mouse,1674.64,Pune,CUST00857,1
2024-01-22,Keyboard,3156.31,Pune,CUST00456,5
2024-04-01,Webcam,821.68,Hyderabad,CUST00247,5
2024-03-07,Monitor,3514.79,Chennai,CUST00168,1
2024-08-03,Mouse,1603.71,Kolkata,CUST00110,2
2024-10-08,Headphones,548.47,Bangalore,CUST00037,4
2024-01-15,Webcam,2786.99,Bangalore,CUST00327,1
2024-12-26,Keyboard,428.0,Bangalore,CUST00147,5
2024-02-15,Scanner,1665.5,Delhi,CUST00394,1
2024-04-12,Headphones,542.6,Hyderabad,CUST00566,3
2024-06-16,Webcam,2871.56,Kolkata,CUST00477,4
2024-12-07,Scanner,2593.54,Pune,CUST00759,5
2024-04-18,Printer,2649.64,Kolkata,CUST00457,2
2024-09-13,Headphones,4423.16,Pune,CUST00090,1
2024-12-23,Mouse,3555.41,Hyderabad,CUST00670,2
2024-11-29,Mouse,4020.54,Kolkata,CUST00655,5
2024-11-21,Monitor,2211.13,Pune,CUST00587,2
2024-06-03,Keyboard,4225.49,Hyderabad,CUST00899,4
2024-06-06,Mouse,1226.53,Delhi,CUST00246,3
2024-10-02,Laptop,426.37,Mumbai,CUST00229,1
2024-02-05,Webcam,1424.33,Kolkata,CUST00435,5
2024-09-09,Laptop,3607.63,Hyderabad,CUST00432,5
2024-07-04,Scanner,1286.19,Kolkata,CUST00471,5
2024-02-08,Mouse,3497.7,Hyderabad,CUST00849,4
2024-03-13,Scanner,1679.83,Pune,CUST00980,3
2024-02-28,Webcam,2243.39,Delhi,CUST00614,2
2024-02-17,Printer,3549.09,Mumbai,CUST00468,3
2024-01-19,Mouse,3886.13,Mumbai,CUST00901,5
2024-03-12,Headphones,2981.94,Hyderabad,CUST00039,4
2024-10-08,Monitor,1238.16,Kolkata,CUST00807,2
2024-01-20,Scanner,3260.57,Mumbai,CUST00214,1
2024-02-21,Webcam,3826.47,Mumbai,CUST00370,3
2024-10-03,Laptop,3416.75,Kolkata,CUST00566,4
2024-10-19,Laptop,1807.76,Pune,CUST00308,3
2024-12-08,Webcam,2563.4,Hyderabad,CUST00793,2
2024-01-25,Mouse,2377.32,Bangalore,CUST00292,2
2024-11-11,Printer,4133.12,Chennai,CUST00645,5
2024-11-07,Scanner,480.84,Bangalore,CUST00369,5
2024-07-07,Monitor,662.33,Chennai,CUST00384,3
2024-01-08,Laptop,1614.18,Bangalore,CUST00345,1
2024-11-09,Laptop,2122.13,Mumbai,CUST00661,2
2024-05-25,Webcam,963.92,Bangalore,CUST00220,1
